contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
biweekly-contest-1,Biweekly Contest 1,2019-06-01,4,campus-bikes-ii,1066,Campus Bikes II,Medium,55.9
biweekly-contest-1,Biweekly Contest 1,2019-06-01,4,index-pairs-of-a-string,1065,Index Pairs of a String,Easy,68.7
biweekly-contest-1,Biweekly Contest 1,2019-06-01,4,fixed-point,1064,Fixed Point,Easy,64.3
biweekly-contest-1,Biweekly Contest 1,2019-06-01,4,digit-count-in-range,1067,Digit Count in Range,Hard,46.6
biweekly-contest-2,Biweekly Contest 2,2019-06-15,4,sum-of-digits-in-the-minimum-number,1085,Sum of Digits in the Minimum Number,Easy,76.7
biweekly-contest-2,Biweekly Contest 2,2019-06-15,4,high-five,1086,High Five,Easy,74.2
biweekly-contest-2,Biweekly Contest 2,2019-06-15,4,brace-expansion,1087,Brace Expansion,Medium,66.9
biweekly-contest-2,Biweekly Contest 2,2019-06-15,4,confusing-number-ii,1088,Confusing Number II,Hard,47.2
biweekly-contest-3,Biweekly Contest 3,2019-06-29,4,path-with-maximum-minimum-value,1102,Path With Maximum Minimum Value,Medium,54.7
biweekly-contest-3,Biweekly Contest 3,2019-06-29,4,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,62.2
biweekly-contest-3,Biweekly Contest 3,2019-06-29,4,find-k-length-substrings-with-no-repeated-characters,1100,Find K-Length Substrings With No Repeated Characters,Medium,76.5
biweekly-contest-3,Biweekly Contest 3,2019-06-29,4,the-earliest-moment-when-everyone-become-friends,1101,The Earliest Moment When Everyone Become Friends,Medium,66.1
biweekly-contest-4,Biweekly Contest 4,2019-07-13,4,number-of-days-in-a-month,1118,Number of Days in a Month,Easy,59.4
biweekly-contest-4,Biweekly Contest 4,2019-07-13,4,divide-array-into-increasing-sequences,1121,Divide Array Into Increasing Sequences,Hard,65.3
biweekly-contest-4,Biweekly Contest 4,2019-07-13,4,maximum-average-subtree,1120,Maximum Average Subtree,Medium,67.0
biweekly-contest-4,Biweekly Contest 4,2019-07-13,4,remove-vowels-from-a-string,1119,Remove Vowels from a String,Easy,91.3
biweekly-contest-5,Biweekly Contest 5,2019-07-27,4,parallel-courses,1136,Parallel Courses,Medium,62.3
biweekly-contest-5,Biweekly Contest 5,2019-07-27,4,connecting-cities-with-minimum-cost,1135,Connecting Cities With Minimum Cost,Medium,63.6
biweekly-contest-5,Biweekly Contest 5,2019-07-27,4,armstrong-number,1134,Armstrong Number,Easy,77.8
biweekly-contest-5,Biweekly Contest 5,2019-07-27,4,largest-unique-number,1133,Largest Unique Number,Easy,71.3
biweekly-contest-6,Biweekly Contest 6,2019-08-10,4,analyze-user-website-visit-pattern,1152,Analyze User Website Visit Pattern,Medium,44.3
biweekly-contest-6,Biweekly Contest 6,2019-08-10,4,check-if-a-number-is-majority-element-in-a-sorted-array,1150,Check If a Number Is Majority Element in a Sorted Array,Easy,60.0
biweekly-contest-6,Biweekly Contest 6,2019-08-10,4,string-transforms-into-another-string,1153,String Transforms Into Another String,Hard,34.6
biweekly-contest-6,Biweekly Contest 6,2019-08-10,4,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,61.3
biweekly-contest-7,Biweekly Contest 7,2019-08-24,4,optimize-water-distribution-in-a-village,1168,Optimize Water Distribution in a Village,Hard,65.6
biweekly-contest-7,Biweekly Contest 7,2019-08-24,4,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,72.0
biweekly-contest-7,Biweekly Contest 7,2019-08-24,4,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.8
biweekly-contest-7,Biweekly Contest 7,2019-08-24,4,design-file-system,1166,Design File System,Medium,65.2
biweekly-contest-8,Biweekly Contest 8,2019-09-07,4,maximum-number-of-ones,1183,Maximum Number of Ones,Hard,70.6
biweekly-contest-8,Biweekly Contest 8,2019-09-07,4,before-and-after-puzzle,1181,Before and After Puzzle,Medium,51.9
biweekly-contest-8,Biweekly Contest 8,2019-09-07,4,count-substrings-with-only-one-distinct-letter,1180,Count Substrings with Only One Distinct Letter,Easy,80.9
biweekly-contest-8,Biweekly Contest 8,2019-09-07,4,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,56.5
biweekly-contest-9,Biweekly Contest 9,2019-09-21,4,how-many-apples-can-you-put-into-the-basket,1196,How Many Apples Can You Put into the Basket,Easy,67.2
biweekly-contest-9,Biweekly Contest 9,2019-09-21,4,minimum-knight-moves,1197,Minimum Knight Moves,Medium,42.0
biweekly-contest-9,Biweekly Contest 9,2019-09-21,4,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.8
biweekly-contest-9,Biweekly Contest 9,2019-09-21,4,minimum-time-to-build-blocks,1199,Minimum Time to Build Blocks,Hard,46.8
biweekly-contest-10,Biweekly Contest 10,2019-10-05,4,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.2
biweekly-contest-10,Biweekly Contest 10,2019-10-05,4,two-sum-bsts,1214,Two Sum BSTs,Medium,68.2
biweekly-contest-10,Biweekly Contest 10,2019-10-05,4,stepping-numbers,1215,Stepping Numbers,Medium,48.6
biweekly-contest-10,Biweekly Contest 10,2019-10-05,4,intersection-of-three-sorted-arrays,1213,Intersection of Three Sorted Arrays,Easy,80.0
biweekly-contest-11,Biweekly Contest 11,2019-10-19,4,divide-chocolate,1231,Divide Chocolate,Hard,60.6
biweekly-contest-11,Biweekly Contest 11,2019-10-19,4,meeting-scheduler,1229,Meeting Scheduler,Medium,55.2
biweekly-contest-11,Biweekly Contest 11,2019-10-19,4,toss-strange-coins,1230,Toss Strange Coins,Medium,58.1
biweekly-contest-11,Biweekly Contest 11,2019-10-19,4,missing-number-in-arithmetic-progression,1228,Missing Number In Arithmetic Progression,Easy,52.2
biweekly-contest-12,Biweekly Contest 12,2019-11-02,4,design-a-leaderboard,1244,Design A Leaderboard,Medium,68.1
biweekly-contest-12,Biweekly Contest 12,2019-11-02,4,palindrome-removal,1246,Palindrome Removal,Hard,46.2
biweekly-contest-12,Biweekly Contest 12,2019-11-02,4,tree-diameter,1245,Tree Diameter,Medium,61.3
