contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
warm-up-contest,Warm Up Contest,2016-08-21,3,lexicographical-numbers,386,Lexicographical Numbers,Medium,76.3
warm-up-contest,Warm Up Contest,2016-08-21,3,first-unique-character-in-a-string,387,First Unique Character in a String,Easy,65.9
warm-up-contest,Warm Up Contest,2016-08-21,3,longest-absolute-file-path,388,Longest Absolute File Path,Medium,49.7
leetcode-weekly-contest-2,Weekly Contest 2,2016-08-28,3,find-the-difference,389,Find the Difference,Easy,60.5
leetcode-weekly-contest-2,Weekly Contest 2,2016-08-28,3,elimination-game,390,Elimination Game,Medium,46.5
leetcode-weekly-contest-2,Weekly Contest 2,2016-08-28,3,perfect-rectangle,391,Perfect Rectangle,Hard,38.6
leetcode-weekly-contest-3,Weekly Contest 3,2016-09-04,4,is-subsequence,392,Is Subsequence,Easy,49.3
leetcode-weekly-contest-3,Weekly Contest 3,2016-09-04,4,utf-8-validation,393,UTF-8 Validation,Medium,46.4
leetcode-weekly-contest-3,Weekly Contest 3,2016-09-04,4,decode-string,394,Decode String,Medium,63.0
leetcode-weekly-contest-3,Weekly Contest 3,2016-09-04,4,longest-substring-with-at-least-k-repeating-characters,395,Longest Substring with At Least K Repeating Characters,Medium,46.5
leetcode-weekly-contest-4,Weekly Contest 4,2016-09-11,4,rotate-function,396,Rotate Function,Medium,54.2
leetcode-weekly-contest-4,Weekly Contest 4,2016-09-11,4,integer-replacement,397,Integer Replacement,Medium,37.8
leetcode-weekly-contest-4,Weekly Contest 4,2016-09-11,4,random-pick-index,398,Random Pick Index,Medium,65.1
leetcode-weekly-contest-4,Weekly Contest 4,2016-09-11,4,evaluate-division,399,Evaluate Division,Medium,64.4
leetcode-weekly-contest-5,Weekly Contest 5,2016-09-18,4,nth-digit,400,Nth Digit,Medium,38.6
leetcode-weekly-contest-5,Weekly Contest 5,2016-09-18,4,binary-watch,401,Binary Watch,Easy,65.9
leetcode-weekly-contest-5,Weekly Contest 5,2016-09-18,4,remove-k-digits,402,Remove K Digits,Medium,37.3
leetcode-weekly-contest-5,Weekly Contest 5,2016-09-18,4,frog-jump,403,Frog Jump,Hard,47.5
leetcode-weekly-contest-6,Weekly Contest 6,2016-09-25,4,sum-of-left-leaves,404,Sum of Left Leaves,Easy,63.0
leetcode-weekly-contest-6,Weekly Contest 6,2016-09-25,4,convert-a-number-to-hexadecimal,405,Convert a Number to Hexadecimal,Easy,54.6
leetcode-weekly-contest-6,Weekly Contest 6,2016-09-25,4,queue-reconstruction-by-height,406,Queue Reconstruction by Height,Medium,74.9
leetcode-weekly-contest-6,Weekly Contest 6,2016-09-25,4,trapping-rain-water-ii,407,Trapping Rain Water II,Hard,64.1
leetcode-weekly-contest-7,Weekly Contest 7,2016-10-02,4,valid-word-abbreviation,408,Valid Word Abbreviation,Easy,37.0
leetcode-weekly-contest-7,Weekly Contest 7,2016-10-02,4,longest-palindrome,409,Longest Palindrome,Easy,56.1
leetcode-weekly-contest-7,Weekly Contest 7,2016-10-02,4,split-array-largest-sum,410,Split Array Largest Sum,Hard,61.0
leetcode-weekly-contest-7,Weekly Contest 7,2016-10-02,4,minimum-unique-word-abbreviation,411,Minimum Unique Word Abbreviation,Hard,40.6
leetcode-weekly-contest-8,Weekly Contest 8,2016-10-09,4,add-strings,415,Add Strings,Easy,52.2
leetcode-weekly-contest-8,Weekly Contest 8,2016-10-09,4,partition-equal-subset-sum,416,Partition Equal Subset Sum,Medium,49.8
